"CompanyNumber","CompanyName","CompanyCategory","CompanyStatus","IncorporationDate","CompanyAdd","SICCode1","SICCode2","SICCode3","SICCode4"
"08635057","APPLIED WORKS UK LIMITED","Private Limited Company","Active",2013-08-02,"N1 6NU","74100 - specialised design activities","FALSE","FALSE","FALSE"
"08873131","ADVANCED SKILLS INITIATIVE LIMITED","Private Limited Company","Active",2014-02-03,"SW7 4XN","62020 - Information technology consultancy activities","85320 - Technical and vocational secondary education","FALSE","FALSE"
"02081330","CAPITA PLC","Public Limited Company","Active",1986-12-08,"SW1H 0XA","58290 - Other software publishing","70229 - Management consultancy activities other than financial management","82990 - Other business support service activities not elsewhere classified","FALSE"
"01073356","DEESON GROUP LIMITED","Private Limited Company","Active",1972-09-25,"CT1 2PX","58142 - Publishing of  consumer and business journals and periodicals","58190 - Other publishing activities","58290 - Other software publishing","63120 - Web portals"
"08160507","HEALTH FABRIC LTD","Private Limited Company","Active",2012-07-30,"B1 2HF","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"06975940","IGEOLISE LIMITED","Private Limited Company","Active",2009-07-29,"GU21 6JD","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"02755304","INFORMED SOLUTIONS LIMITED","Private Limited Company","Active",1992-10-13,"WA14 4PA","62012 - Business and domestic software development","62020 - Information technology consultancy activities","62090 - Other information technology service activities","FALSE"
"00518685","MARKET RESEARCH SOCIETY(THE)","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",1953-04-16,"EC1V 0JR","94110 - Activities of business and employers membership organizations","94120 - Activities of professional membership organizations","FALSE","FALSE"
"00820771","MERCK SHARP & DOHME LIMITED","Private Limited Company","Active",1964-09-25,"EN11 9BU","21100 - Manufacture of basic pharmaceutical products","FALSE","FALSE","FALSE"
"08637310","NIMBLE LEARN LTD","Private Limited Company","Active",2013-08-05,"WC1V 6AX","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"08015198","NATIONAL UNION OF STUDENTS (UNITED KINGDOM)","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2012-04-02,"SK10 2NZ","94990 - Activities of other membership organizations not elsewhere classified","FALSE","FALSE","FALSE"
"07855508","UNIVERSITIES UK SERVICES LIMITED","Private Limited Company","Active",2011-11-21,"WC1H 9HQ","85421 - First-degree level higher education","FALSE","FALSE","FALSE"
"00571546","ROCHE DIAGNOSTICS LIMITED","Private Limited Company","Active",1956-09-14,"RH15 9RY","74909 - Other professional, scientific and technical activities not elsewhere classified","FALSE","FALSE","FALSE"
